Date,Product,Category,Region,Units_Sold,Revenue,Year
2024-01-15,Titanium Gadget Pro,Electronics,North America,120,120000.0,2024
2024-02-20,Aero-X Headset,Electronics,Europe,85,42500.0,2024
2024-03-10,ErgoDesk Alpha,Furniture,North America,45,31500.0,2024
2024-04-05,LuminoSmart Watch,Electronics,Asia-Pacific,200,90000.0,2024
2024-05-18,EcoComfort Chair,Furniture,Europe,110,55000.0,2024
2025-01-12,Titanium Gadget Pro,Electronics,Europe,150,150000.0,2025
2025-02-14,Aero-X Headset,Electronics,North America,130,65000.0,2025
2025-03-22,ErgoDesk Alpha,Furniture,Europe,60,42000.0,2025
2025-04-11,LuminoSmart Watch,Electronics,North America,250,112500.0,2025
2025-05-30,EcoComfort Chair,Furniture,Asia-Pacific,95,47500.0,2025
